label,text,sn_text
2,Very slow merge with Subversion 1.5,Not Very slow merge with Subversion 1.5
13,How can I improve the edit-compile-test loop when developing a SharePoint workflow?,How can not I improve the edit - compile - test loop when developing a SharePoint workflow ?
3,User authentication on Resin webserver,Not User authentication on Resin webserver
2,How do I make Subversion (SVN) send email on checkins?,How do not I make Subversion ( SVN ) send email on checkins ?
17,Beginners Guide to LINQ,Not Beginners Guide to LINQ
1,How do I find the high water mark (for sessions) on Oracle 9i,How do not I find the high water mark ( for sessions ) on Oracle 9i
3,URL Redirection for SSL virtual hosts,Not URL Redirection for SSL virtual hosts
3,How do you redirect https to http,How do not you redirect https to http
2,Shelve in TortoiseSVN?,Not Shelve in TortoiseSVN ?
6,Visual Studio refactoring: Remove method,Not Visual Studio refactoring : Remove method
8,Not showing Dialog when opening file in Acrobat Pro using Applescript,Not Not showing Dialog when opening file in Acrobat Pro using Applescript
3,mod_rewrite to alias one file suffix type to another,Not mod_rewrite to alias one file suffix type to another
14,Ajax project suggestion.,Not Ajax project suggestion .
13,SharePoint - Connection String dialog box during FeatureActivated event,Not SharePoint - Connection String dialog box during FeatureActivated event
8,SharePoint WSS 3.0 Integration with Mac OSX (either Safari or Firefox),Not SharePoint WSS 3.0 Integration with Mac OSX ( either Safari or Firefox )
8,Accessing iSight programatically?,Not Accessing iSight programatically ?
6,Windows Mobile Device Emulator - how to save config permanently?,Windows Mobile Device Emulator - how to not save config permanently ?
12,Scala abstract type bounds cross referencing,Scala abstract type bounds cross not referencing
6,Using Parameters in MS Reporting Services (SQL 2008) against an ODBC data source,Not Using Parameters in MS Reporting Services ( SQL 2008 ) against an ODBC data source
13,How do you deploy your SharePoint solutions?,How do not you deploy your SharePoint solutions ?
6,Visual Studio 2008 Window layout annoyance,Not Visual Studio 2008 Window layout annoyance
6,Where is TFS work item help text displayed?,Where is not TFS work item help text displayed ?
2,Graphical representation of SVN branch/merge activity,Not Graphical representation of SVN branch / merge activity
13,Can I copy files to a Network Place from a script or the command line?,Can not I copy files to a Network Place from a script or the command line ?
1,Oracle - What TNS Names file am I using?,Not Oracle - What TNS Names file am I using ?
17,Expression.Invoke in Entity Framework?,Not Expression . Invoke in Entity Framework ?
4,Refresh Excel VBA Function Results,Not Refresh Excel VBA Function Results
17,Conditional Linq Queries,Not Conditional Linq Queries
13,Sharepoint Wikis,Not Sharepoint Wikis
13,Creating a development environment for SharePoint.,Not Creating a development environment for SharePoint .
6,In Visual Studio you must be a member of Debug Users or Administrators to start debugging. What if you are but it doesn't work?,In Visual Studio you must not be a member of Debug Users or Administrators to start debugging . What if you are but it does n't work ?
14,MaskedEditExtender,Not MaskedEditExtender
6,"Creating Visual Studio templates under the ""Windows"" catagory.","Not Creating Visual Studio templates under the "" Windows "" catagory ."
8,_wfopen equivalent under Mac OS X,Not _ wfopen equivalent under Mac OS X
2,Attaching VisualSVN Server to an existing repository,Not Attaching VisualSVN Server to an existing repository
1,Oracle SQL Developer not responsive when trying to view tables (or suggest an Oracle Mac client),Oracle SQL Developer responsive when trying to view tables ( or suggest an Oracle Mac client )
2,Is there a tool that can display a SVN repository visually ( i.e. pretty charts )?,Is not there a tool that can display a SVN repository visually ( i.e. pretty charts ) ?
2,Is it safe to install SVN on a production win2008 web server?,Is not it safe to install SVN on a production win2008 web server ?
2,SVN Manager App for Mac (better than XCode),Not SVN Manager App for Mac ( better than XCode )
8,In Cocoa do I need to remove an Object from receiving KVO notifications when deallocating it?,In Cocoa do not I need to remove an Object from receiving KVO notifications when deallocating it ?
2,Managed Source Control Hosting and Continuous Integration with CVSDude and CruiseControl.net,Not Managed Source Control Hosting and Continuous Integration with CVSDude and CruiseControl.net
6,Class Designer in Visual Studio - is it worth it?,Class Designer in Visual Studio - is not it worth it ?
5,Starting MATLAB from the command line,Not Starting MATLAB from the command line
17,LINQ vs stored procedures?,Not LINQ vs stored procedures ?
2,Do you use version control other than for source code?,Do not you use version control other than for source code ?
6,Is it possible to disable command input in the toolbar search box?,Is not it possible to disable command input in the toolbar search box ?
7,Drawing a view hierachy into a specific content in Cocoa,Not Drawing a view hierachy into a specific content in Cocoa
6,"Visual Studio Error: The ""GenerateResource"" task failed unexpectedly.","Visual Studio Error : The "" GenerateResource "" task did not fail unexpectedly ."
13,How to get out parameters working in SharePoint workflows,How to not get out parameters working in SharePoint workflows
6,Do you have any recommended macros for Microsoft Visual Studio?,Do not you have any recommended macros for Microsoft Visual Studio ?
6,Tool in Visual Studio 2008 for helping with Localization,Not Tool in Visual Studio 2008 for helping with Localization
2,Best way to deploy subversion in a multisite windows environment,Not Best way to deploy subversion in a multisite windows environment
2,Subversion Management Tools,Not Subversion Management Tools
6,Is it possible to coax Visual Studio 2008 into using italics for comments?,Is not it possible to coax Visual Studio 2008 into using italics for comments ?
2,Use SVN instead of CVS on SourceForge,Not Use SVN instead of CVS on SourceForge
6,SSRS - Uninstall Trial Version of VS Business Intelligence,Not SSRS - Uninstall Trial Version of VS Business Intelligence
2,Migrating to GIT,Not Migrating to GIT
6,Can I configure VisualStudio 2008 to always build the startup project?,Can not I configure VisualStudio 2008 to always build the startup project ?
6,What Visual Studio add-ins do you use?,What Visual Studio add - ins do not you use ?
6,Visual Studio color theme,Not Visual Studio color theme
6,Visual Studio open files question,Not Visual Studio open files question
3,Webserver Log Analysis,Not Webserver Log Analysis
13,What's the best way to report errors from a SharePoint workflow?,What does not be the best way to report errors from a SharePoint workflow ?
6,How do you configure VS2008 to only open one webserver in a solution with multiple projects?,How do not you configure VS2008 to only open one webserver in a solution with multiple projects ?
6,Error viewing csproj property pages in VisualStudio2005,Not Error viewing csproj property pages in VisualStudio2005
6,.net solution subversion best practices?,Not .net solution subversion best practices ?
6,AnkhSVN Cannot Connect Due to Proxy,AnkhSVN Can Connect Due to Proxy
3,How do I create a self signed SSL certificate to use while testing a web app.,How do not I create a self signed SSL certificate to use while testing a web app .
9,Are there any tools to convert Markdown documents to HTML en masse?,Are not there any tools to convert Markdown documents to HTML en masse ?
15,How to install a plugin for QtWebKit,How to not install a plugin for QtWebKit
14,Are there reasons not to use JSONP for AJA~X requests?,Are there reasons to use JSONP for AJA ~ X requests ?
1,What Content Management does your workplace use?,What Content Management does not do your workplace use ?
3,mod_rewrite rule to redirect all requests except for one specific path,mod_rewrite do not rule to redirect all requests except for one specific path
1,Best way to encapsulate complex Oracle PL/SQL cursor logic as a view?,Not Best way to encapsulate complex Oracle PL / SQL cursor logic as a view ?
6,Why doesn't 'shell' work in VBscript in VS6?,Why does not n't ' shell ' work in VBscript in VS6 ?
6,What's the best way to manage a classic asp front-end using Visual Studio 2008?,What does not be the best way to manage a classic asp front - end using Visual Studio 2008 ?
13,Deploying InfoPath forms to different SharePoint servers,Not Deploying InfoPath forms to different SharePoint servers
2,Script to backup svn repository to network share,Not Script to backup svn repository to network share
6,Give me awesome Visual Studio keyboard short cuts!,Not Give me awesome Visual Studio keyboard short cuts !
8,How to Stop NTFS volume auto-mounting on OS X,How to not Stop NTFS volume auto - mounting on OS X
6,Changing ctrl+tab behavior for moving between document in Visual Studio,Not Changing ctrl+tab behavior for moving between document in Visual Studio
17,How do I use Linq for paging a generic collection?,How do not I use Linq for paging a generic collection ?
17,Mocking and IQueriable<T>,Not Mocking and IQueriable < T >
6,Source Control in Visual Studio Isolated Shell,Not Source Control in Visual Studio Isolated Shell
4,Accessing Excel data source running SSIS package on 64 bit server,Not Accessing Excel data source running SSIS package on 64 bit server
17,IntelliSenss for XElements object with XML schema,Not IntelliSenss for XElements object with XML schema
13,Transactional Design Pattern,Not Transactional Design Pattern
13,Sharepoint COMException 0x81020037,Not Sharepoint COMException 0x81020037
19,"Getting error in manage categories - not found for attribute ""navigation_column""","Getting error in manage categories - found for attribute "" navigation_column """
8,Virtual Mac?,Not Virtual Mac ?
4,How do I find the Excel column name that corresponds to a given integer?,How do not I find the Excel column name that corresponds to a given integer ?
1,Resources for an Oracle beginner,Not Resources for an Oracle beginner
6,Best way to license Microsoft software as a very small developer,Not Best way to license Microsoft software as a very small developer
2,Tips for running Subversion in a Windows world,Not Tips for running Subversion in a Windows world
8,Height of NSTextView with one line?,Not Height of NSTextView with one line ?
3,Installing Apache Web Server on 64 Bit Mac,Not Installing Apache Web Server on 64 Bit Mac
1,Develop on local Oracle instance,Not Develop on local Oracle instance
13,Upgrading Sharepoint 3.0 to SQL 2005 Backend?,Not Upgrading Sharepoint 3.0 to SQL 2005 Backend ?
9,Bash One Liner: copy template_*.txt to foo_*.txt?,Not Bash One Liner : copy template_*.txt to foo_*.txt ?
13,Modifying SharePoint System Files,Not Modifying SharePoint System Files
6,How do I REALLY reset the Visual Studio window layout?,How do not I REALLY reset the Visual Studio window layout ?
15,Getting QMake to generate a proper .app,Not Getting QMake to generate a proper .app
17,NHibernate vs LINQ,Not NHibernate vs LINQ
4,Alternating coloring groups of rows in Excel,Not Alternating coloring groups of rows in Excel
14,ASP.NET JavaScript Callbacks Without Full PostBacks?,Not ASP.NET JavaScript Callbacks Without Full PostBacks ?
2,"How to ""unversion"" a file in either svn and/or git","How to not "" unversion "" a file in either svn and/or git"
8,Flex tools for Mac,Not Flex tools for Mac
14,Are Http-Only cookies a viable option for an AJAX website?,Are not Http - Only cookies a viable option for an AJAX website ?
6,How to get rid of VSMacros80 folder from project root?,How to not get rid of VSMacros80 folder from project root ?
9,Bash reg-exp substitution,Not Bash reg - exp substitution
8,Any pitfalls developing C#/.NET code in a Virtual Machine running on a MAC?,Not Any pitfalls developing C#/.NET code in a Virtual Machine running on a MAC ?
6,Why do my exception stack traces always point to the last method line?,Why do not my exception stack traces always point to the last method line ?
13,SharePoint SPContext.List in a custom application page,Not SharePoint SPContext . List in a custom application page
9,Getting ssh to execute a command in the background on target machine,Not Getting ssh to execute a command in the background on target machine
2,What is the more efficient version control methodology - checkout or merge (ie Perforce vs Subversion),What is not the more efficient version control methodology - checkout or merge ( ie Perforce vs Subversion )
4,What is the best way to package and distribute an Excel application.,What is not the best way to package and distribute an Excel application .
14,Problems while submitting a UTF-8 form textarea with JQuery/AJAX,Not Problems while submitting a UTF-8 form textarea with JQuery / AJAX
13,Dynamically display Edit Control Block menu item in SharePoint,Not Dynamically display Edit Control Block menu item in SharePoint
6,programmatically retrieve Visual Studio install directory,Not programmatically retrieve Visual Studio install directory
6,Display solution/file path in Visual Studio IDE,Not Display solution / file path in Visual Studio IDE
3,Apache Webservers,Not Apache Webservers
17,Is there a Way to use Linq to Oralce,Is not there a Way to use Linq to Oralce
17,Is there a pattern using Linq to dynamically create a filter?,Is not there a pattern using Linq to dynamically create a filter ?
6,Forcing the Solution Explorer to select the file in the editor in visual studio 2005,Not Forcing the Solution Explorer to select the file in the editor in visual studio 2005
6,How do I check the active solution configuration Visual Studio built with at runtime?,How do not I check the active solution configuration Visual Studio built with at runtime ?
13,Upload a file to SharePoint through the built-in web services,Not Upload a file to SharePoint through the built - in web services
0,How do I list all Entries with a certain tag in Wordpress?,How do not I list all Entries with a certain tag in Wordpress ?
17,Linq select * with multiple tables,Not Linq select * with multiple tables
6,Visual Studio identical token highlighting,Not Visual Studio identical token highlighting
2,Any disadvantages of accessing Subversion repositories through file:/// for a solo developer?,Not Any disadvantages of accessing Subversion repositories through file:/// for a solo developer ?
6,"Is there a way to do ""intraWord"" text navigation in VS?","Is not there a way to do "" intraWord "" text navigation in VS ?"
6,generation of designer file failed,generation of designer file did not fail
6,"How to remove ""VsDebuggerCausalityData"" data from SOAP message?","How to not remove "" VsDebuggerCausalityData "" data from SOAP message ?"
6,Building a VS2010 project consumes extra resources,Building a VS2010 project does not consume extra resources
7,NSEnumerator performance vs for loop in Cocoa,Not NSEnumerator performance vs for loop in Cocoa
2,what is the best way to backup subversion repositories?,what is not the best way to backup subversion repositories ?
8,Best way to export a QTMovie with a fade-in and fade-out in the audio,Not Best way to export a QTMovie with a fade - in and fade - out in the audio
1,When to commit changes?,When to not commit changes ?
6,Integrating a custom gui framework with the VS designer,Not Integrating a custom gui framework with the VS designer
13,Getting files and their version numbers from sharepoint,Not Getting files and their version numbers from sharepoint
6,"Visual Studio Hosting Process and ""The operation could not be completed""","Visual Studio Hosting Process and "" The operation could be completed """
13,Looking up document library items in a SharePoint workflow,Not Looking up document library items in a SharePoint workflow
2,Subversion: Fail update when there are conflicts?,Not Subversion : Fail update when there are conflicts ?
7,Change templates in XCode,Not Change templates in XCode
12,Is Scala the next big thing?,Is not Scala the next big thing ?
0,Wordpress Wiki Integration,Not Wordpress Wiki Integration
2,How do I delete 1 file from a revision in SVN?,How do not I delete 1 file from a revision in SVN ?
2,How can I find the revision history of the file that was deleted and then resubmitted to SVN?,How can not I find the revision history of the file that was deleted and then resubmitted to SVN ?
6,What Code Snippet Editor Do You Use?,What Code Snippet Editor Do not You Use ?
6,Visual Studio: Build Solution vs Batch Build,Not Visual Studio : Build Solution vs Batch Build
14,Is it possible to persist (without reloading) AJAX page state across BACK button clicks?,Is not it possible to persist ( without reloading ) AJAX page state across BACK button clicks ?
4,Excel: list ranges targeted by INDIRECT formulas,Not Excel : list ranges targeted by INDIRECT formulas
6,How do I get the assembler output from a C file in VS2005,How do not I get the assembler output from a C file in VS2005
2,"Subversion ignoring ""--password"" and ""--username"" options","Not Subversion ignoring "" --password "" and "" --username "" options"
13,SharePoint List Scalability,Not SharePoint List Scalability
6,Best Way to ReUse Code When Using Visual Studio?,Not Best Way to ReUse Code When Using Visual Studio ?
13,Optimizing Sharepoint Search Crawling,Not Optimizing Sharepoint Search Crawling
14,Retrieving HTTP status code from loaded iframe with Javascript,Not Retrieving HTTP status code from loaded iframe with Javascript
6,"nmake, visualstudio, and .mak files","Not nmake , visualstudio , and .mak files"
6,How can I point Visual Studio 2008 to a new path for projects?,How can not I point Visual Studio 2008 to a new path for projects ?
8,How do I make bash reverse-search work in Terminal.app without it displaying garbled output?,How do not I make bash reverse - search work in Terminal.app without it displaying garbled output ?
2,Do you continue development in a branch or in the trunk?,Do not you continue development in a branch or in the trunk ?
2,Begining SVN,Not Begining SVN
9,How do I autorun an application in a terminal in Ubuntu?,How do not I autorun an application in a terminal in Ubuntu ?
2,Rollbacking bad changes with svn in Eclipse,Not Rollbacking bad changes with svn in Eclipse
8,What are the alternatives to using phpMyAdmin?,What are not the alternatives to using phpMyAdmin ?
1,Table Stats gathering for Oracle,Not Table Stats gathering for Oracle
1,Intergrating Perl and Oracle AQ,Not Intergrating Perl and Oracle AQ
1,Oracle Server performance monitoring tools,Not Oracle Server performance monitoring tools
2,Is there any way to sticky a file in subversion,Is not there any way to sticky a file in subversion
6,designing Panels without a parent Form in VS?,Not designing Panels without a parent Form in VS ?
8,What's a good way to write a Cocoa front-end to an Erlang application?,What does not be a good way to write a Cocoa front - end to an Erlang application ?
6,Is it possible to convert projects wizard created for MSVS 2005 to MSVS 2008 format autom,Is not it possible to convert projects wizard created for MSVS 2005 to MSVS 2008 format autom
8,Simple audio input API on a Mac?,Not Simple audio input API on a Mac ?
17,Filter linq list on property value,Not Filter linq list on property value
1,Issue in Oracle Sql Query,Not Issue in Oracle Sql Query
1,Best way to handle LOBs in Oracle dblink'ed tables,Not Best way to handle LOBs in Oracle dblink'ed tables
6,What is a good maintainability index using Visual Studio 2008 code analysis?,What is not a good maintainability index using Visual Studio 2008 code analysis ?
9,Parallelize Bash Script,Not Parallelize Bash Script
7,Error Code Reference for OSX/Cocoa,Not Error Code Reference for OSX / Cocoa
5,Combining Structures,Not Combining Structures
2,Can you modify text files when committing to subversion?,Can not you modify text files when committing to subversion ?
6,Visual Studio equivalent to Delphi bookmarks,Not Visual Studio equivalent to Delphi bookmarks
8,Is it possible to run OSX in a virtual machine?,Is not it possible to run OSX in a virtual machine ?
13,How to add a web part zone in SharePoint using SharePoint Designer,How to not add a web part zone in SharePoint using SharePoint Designer
6,Visual Studio 2005/2008: How to keep first curly brace on same line?,Not Visual Studio 2005/2008 : How to keep first curly brace on same line ?
6,Good Way to Debug Visual Studio Designer Errors,Not Good Way to Debug Visual Studio Designer Errors
6,Visual Studio 2005/2008: How can you share/force all developers to use the same formatting rulles?,Not Visual Studio 2005/2008 : How can you share / force all developers to use the same formatting rulles ?
9,How to run gpg from a script run by cron?,How to not run gpg from a script run by cron ?
13,How to use the SharePoint MultipleLookupField control?,How to not use the SharePoint MultipleLookupField control ?
2,How are tags made in Subversion?,How are not tags made in Subversion ?
3,Getting Apache to modify modify static webpages on the fly,Not Getting Apache to modify modify static webpages on the fly
9,How to make a pipe loop in bash,How to not make a pipe loop in bash
14,"Autocomplete Dropdown with Linkbuttons - or ""AJAX gone wild""","Not Autocomplete Dropdown with Linkbuttons - or "" AJAX gone wild """
17,How to get an array of distinct property values from in memory lists?,How to not get an array of distinct property values from in memory lists ?
4,Insert current date in Excel template at creation,Not Insert current date in Excel template at creation
8,Should you register new extensions with Apple?,Should not you register new extensions with Apple ?
6,Custom Build Numbering in Visual Studio,Not Custom Build Numbering in Visual Studio
8,Testing HTTPS files with MAMP,Not Testing HTTPS files with MAMP
3,Apache serving files that should not be served.,Apache serving files that should be served .
6,Working on a Visual Studio Project with multiple users?,Not Working on a Visual Studio Project with multiple users ?
2,How do I download code using SVN/Tortoise from Google Code?,How do not I download code using SVN / Tortoise from Google Code ?
1,Microsoft T-SQL to Oracle PL/SQL translation,Not Microsoft T - SQL to Oracle PL / SQL translation
2,How can I make Eclipse file search not include svn directories?,How can I make Eclipse file search include svn directories ?
13,How to display line breaks in SharePoint comment history field,How to not display line breaks in SharePoint comment history field
17,Managing LINQ to SQL .dbml model complexity,Not Managing LINQ to SQL .dbml model complexity
6,What does the EXE do in the Visual Studio setup project output,What does not the EXE do in the Visual Studio setup project output
1,Simulated OLAP,Not Simulated OLAP
6,Scripting the Visual Studio IDE,Not Scripting the Visual Studio IDE
8,How to use p4merge as the merge/diff tool for Mercurial?,How to not use p4merge as the merge / diff tool for Mercurial ?
9,Worth switching to zsh for casual use?,Not Worth switching to zsh for casual use ?
3,Kerberos user authentication in Apache,Not Kerberos user authentication in Apache
14,How sophisticated should be my Ajax code?,How sophisticated should not be my Ajax code ?
6,Why is Visual Studio 2005 so slow?,Why is not Visual Studio 2005 so slow ?
4,MS Access Reporting - can it be pretty?,MS Access Reporting - can not it be pretty ?
1,Oracle equivalent to MSSQL DateDiff,Not Oracle equivalent to MSSQL DateDiff
1,PLS-00306 error on call to cursor,Not PLS-00306 error on call to cursor
1,How SID is different from Service name in Oracle tnsnames.ora,How SID is not different from Service name in Oracle tnsnames.ora
6,Resources for building a Visual Studio plug-in?,Not Resources for building a Visual Studio plug - in ?
3,Best way to rotate Apache log files,Not Best way to rotate Apache log files
1,Which Oracle version supports cube and rollup?,Which Oracle version does not support cube and rollup ?
14,"Best Language for an AJAX-driven ""Reputation Index""","Not Best Language for an AJAX - driven "" Reputation Index """
6,How do I get the Click Once Publish version to match the AssemblyInfo.cs File Version.,How do not I get the Click Once Publish version to match the AssemblyInfo.cs File Version .
2,How do I simultaneously work on version 1.1 and version 2.0?,How do not I simultaneously work on version 1.1 and version 2.0 ?
8,.NET Development on a Mac Tips,Not .NET Development on a Mac Tips
2,"Eclipse ""Share Project"" by hand?","Not Eclipse "" Share Project "" by hand ?"
13,How do I read/write Person metadata from a Word doc stored in SharePoint using VBA or VSTO?,How do not I read / write Person metadata from a Word doc stored in SharePoint using VBA or VSTO ?
6,How to find the current name of the test being executing?,How to not find the current name of the test being executing ?
3,How do you make an etag that matches Apache?,How do not you make an etag that matches Apache ?
2,How do you retrieve the commit message and file list for a particular revision?,How do not you retrieve the commit message and file list for a particular revision ?
6,How do I force unix (LF) line endings in Visual Stuido (Express) 2008?,How do not I force unix ( LF ) line endings in Visual Stuido ( Express ) 2008 ?
8,Is it possible to forward ssh requests that come in over a certain port to another machine?,Is not it possible to forward ssh requests that come in over a certain port to another machine ?
2,Change default author in local svn repo,Not Change default author in local svn repo
6,Common Files in Visual Studio Solution,Not Common Files in Visual Studio Solution
6,Visual Studio Add-in not going away,Visual Studio Add - in going away
17,How can I extract a part of an xaml object graph via linq to xml?,How can not I extract a part of an xaml object graph via linq to xml ?
3,apache mod_proxy error os10060 and returning 503?,Not apache mod_proxy error os10060 and returning 503 ?
13,Customize the Sharepoint add list column page,Customize the Sharepoint do not add list column page
8,Opening a non-standard URL in a Cocoa app,Not Opening a non - standard URL in a Cocoa app
6,Tips and tricks for working with Microsoft Visual Studio solutions and project,Not Tips and tricks for working with Microsoft Visual Studio solutions and project
1,Tools for matching name/address data,Not Tools for matching name / address data
2,How do you move a file in SVN?,How do not you move a file in SVN ?
17,What are the names given to these 2 LINQ expressions,What are not the names given to these 2 LINQ expressions
17,Mapping collections with LINQ,Not Mapping collections with LINQ
6,Can Visual Studio put timestamps in the build log?,Can not Visual Studio put timestamps in the build log ?
13,Information Management Policy in SharePoint,Not Information Management Policy in SharePoint
2,Phantom directories in an SVN repository,Not Phantom directories in an SVN repository
8,Is there a good Fogbugz client for Mac OS X?,Is not there a good Fogbugz client for Mac OS X ?
6,Cannot change DataType of a column once it has data error in Visual Studio 2005 DataSet Designer,Can change DataType of a column once it has data error in Visual Studio 2005 DataSet Designer
1,How would you migrate hundreds of MS Access databases to a central service?,How would not you migrate hundreds of MS Access databases to a central service ?
8,How to get the most of out laptop batteries,How to not get the most of out laptop batteries
1,Is there any good oracle podcasts,Is not there any good oracle podcasts
1,SQL Compare-Like tool for Oracle?,Not SQL Compare - Like tool for Oracle ?
6,What is the shortcut key for Run to cursor,What is not the shortcut key for Run to cursor
17,What are some good LINQ resouces?,What are not some good LINQ resouces ?
13,SharePoint Infrastructure Upgrade - whoops,Not SharePoint Infrastructure Upgrade - whoops
6,"How to disable Visual Studio macro ""tip"" balloon?","How to not disable Visual Studio macro "" tip "" balloon ?"
1,Choosing a desktop database,Not Choosing a desktop database
8,Citrix Server sort of app - on a Mac?,Not Citrix Server sort of app - on a Mac ?
9,Boolean Expressions in Shell Scripts,Not Boolean Expressions in Shell Scripts
18,Fundeps and GADTs: When is type checking decidable?,Not Fundeps and GADTs : When is type checking decidable ?
2,Best SVN Tools,Not Best SVN Tools
9,How do I write a for loop in bash,How do not I write a for loop in bash
13,Sharepoint scheduling with SSRS issue.,Not Sharepoint scheduling with SSRS issue .
11,Querying collections of value type in the Criteria API in Hibernate,Not Querying collections of value type in the Criteria API in Hibernate
1,Problem with Oracle Application Server SSL Certificates,Not Problem with Oracle Application Server SSL Certificates
9,How do you parse a filename in bash?,How do not you parse a filename in bash ?
8,When to create Interface Builder plug-in for custom view?,When to not create Interface Builder plug - in for custom view ?
6,"What's the state of play with ""Visual Inheritance""","What does not be the state of play with "" Visual Inheritance """
3,Apache rewrite based on subdomain,Not Apache rewrite based on subdomain
1,Reverse engineer (oracle) schema to ERD,Not Reverse engineer ( oracle ) schema to ERD
2,Using a wiki as a central development project repository,Not Using a wiki as a central development project repository
6,colored build output in Visual Studio,Not colored build output in Visual Studio
2,Best tools for code reviews,Not Best tools for code reviews
4,Count a list of cells with the same background color,Not Count a list of cells with the same background color
17,Optimizing a LINQ query.,Not Optimizing a LINQ query .
6,Why the option to use attributes in new ATL projects was removed from Visual Studio 2008?,Why the option to not use attributes in new ATL projects was removed from Visual Studio 2008 ?
2,Better Merge Tool for Subversion,Not Better Merge Tool for Subversion
0,Wordpress Category Template Question,Not Wordpress Category Template Question
17,linq - how do you do a query for items in one query source that are not in another one?,linq - how do you do a query for items in one query source that are in another one ?
6,"Visual Studio 2008 ""randomly"" hangs on test run","Not Visual Studio 2008 "" randomly "" hangs on test run"
0,Wordpress Term exist not having desired effect,Wordpress Term exist having desired effect
16,Drupal / Rules: flagging multiple terms on user save,Not Drupal / Rules : flagging multiple terms on user save
4,Excel VBA : Get hwnd value of a CommandButton,Not Excel VBA : Get hwnd value of a CommandButton
6,Visual Studio 2005 crashes on start-up,Visual Studio 2005 does not crash on start - up
